Close,High,Low,Open,Volume,Daily Change,Daily Returns,7-Day MA,30-Day MA,Volatility
489.2259216308594,503.19412065144155,481.83098926701246,491.30423171349776,28642076,-2.0783100826383816,1.7797830029380401,504.071044921875,513.9820526123046,1.499756222043124
497.5875244140625,502.17915285693147,491.5459080418665,492.8509030782768,19661945,4.736621335785685,1.7091495796725864,499.6175101143973,513.3343922932943,1.5334718434778825
491.4009094238281,500.24582978965833,480.47764945011244,500.24582978965833,21883404,-8.844920365830205,-1.2433219658228856,496.6484854561942,512.6029561360677,1.5436445407526678
487.6792297363281,494.10750307862503,483.3292663392746,492.7541870328905,16671516,-5.074957296562388,-0.7573611721361506,492.9958932059152,512.0116841634115,1.5254368411852328
470.1343994140625,480.2359637274252,461.386121692833,468.82940445011354,31024353,1.3049949639489569,-3.5976168867703273,487.8380780901228,510.67930704752604,1.6390345269711084
442.4880065917969,459.1628686643441,428.1814700629194,459.1628686643441,42027175,-16.674862072547228,-5.8805296648621885,479.8838588169643,508.2272165934245,1.9103203219486595
450.12457275390625,456.0211961344095,434.6097139700329,434.9963715113604,31018779,15.128201242545856,1.7258244400631284,475.52008056640625,505.9201263427734,1.942610965925954
411.4582214355469,431.08140844115496,402.1299719760227,423.3964608786008,50757033,-11.93823944305393,-8.590144519725918,464.410409109933,502.6157623291016,2.438825732418403
432.2897644042969,449.25461208146663,382.0235141014754,387.6301225275269,67104335,44.65964187676997,5.062857389523123,455.08215767996654,500.0573384602865,2.655153369961537
389.46673583984375,410.05658128637646,384.1984642808137,410.05658128637646,34833637,-20.589845446532706,-9.906093572089091,440.5201328822545,495.8910359700521,3.141924042236095
355.0054016113281,394.83175118232543,351.863760889104,393.4300842908388,47232699,-38.42468267951068,-8.84833826801753,421.5667288643973,490.7870768229167,3.4631345002953493
343.212158203125,362.98034033568734,330.8872598295431,356.79373058151367,61202289,-13.581572378388671,-3.3219898499219913,403.4349801199777,485.6154541015625,3.4835785698766633
327.2622985839844,357.2770696068041,312.2307672545789,324.89400241476574,57985870,2.368296169218638,-4.6472303611403305,386.9741646902902,479.4207834879557,3.449013562614418
334.17388916015625,347.8037517931786,312.2307271834545,317.0640201739105,88640642,17.109868986245772,2.111942196237493,370.4097813197545,473.1890594482422,3.466820630589501
274.53106689453125,303.24084167614,270.66443214953784,300.77584432615754,56867949,-26.24477743162629,-17.847840361052437,350.84875924246654,464.88868509928386,4.563962453065773
286.6142883300781,294.83088681508883,259.3545027327163,285.4542861556914,67895418,1.1600021743867046,4.401404027686584,330.03797694614957,457.1570271809896,4.709502403808027
306.3340759277344,323.0089352257107,272.21104232379037,274.53101684784133,66544138,31.803059079893046,6.880252799869502,318.16188267299106,450.1632517496745,4.967436700907238
319.2389831542969,352.2503664282987,303.7724464988275,311.2640501913205,76173940,7.974932962976368,4.212690732325464,313.0523943219866,443.4127502441406,5.057648806026471
328.5189208984375,347.56207702645844,315.13069380457705,343.93710738913586,72889985,-15.41818649069836,2.906893654543241,310.953360421317,436.6638631184896,5.087128273215934
302.9508361816406,322.7673398915129,300.7275329312979,319.09404856483803,36559880,-16.143212383197408,-7.782834744152012,307.4802943638393,429.3301503499349,5.21673548048036
312.95574951171875,323.6856668235655,305.4641446971525,313.8740870632145,46279768,-0.9183375514957675,3.3024874452168396,304.44913155691967,422.1752655029297,5.275767719022686
300.77581787109375,312.95572214654266,297.82752093738975,308.36409379072467,33141186,-7.588275919630917,-3.8919021809404097,308.19838169642856,414.7497161865234,5.289936396393067
277.0926818847656,299.1808368023369,272.11439599307863,299.1808368023369,57326314,-22.088154917571273,-7.874015987707573,306.83815220424106,406.54761555989586,5.398465926411804
315.2273864746094,318.61069169390123,286.95262142767024,298.0208450878768,57661076,17.206541386732567,13.762436571927505,308.10862513950894,399.50067443847655,6.100930257779608
308.3157958984375,340.98884728237124,304.59415410320605,312.0857588273404,73931321,-3.769962928902885,-2.1925730037192004,306.5481698172433,392.1524586995443,6.091238918973054
331.2738952636719,333.49719811775924,311.8923737309845,321.31729454735597,52431174,9.956600716315904,7.446293595932718,306.94173758370533,386.122119140625,6.301850415632287
319.6257019042969,334.27057570558173,318.2723855876916,329.6789467563288,30994190,-10.053244852031924,-3.5161820855530435,309.3238612583705,379.6680633544922,6.3089254584086065
316.4356994628906,340.1671563568212,314.16404584675206,331.2739149128993,49132329,-14.838215450008647,-0.998043155603745,309.8209969656808,373.3412831624349,6.309289048949091
330.59722900390625,336.2038368770406,308.70241842164563,314.4540191794152,56494027,16.143209824491066,4.475326129464219,314.0811985560826,367.75560607910154,6.398099170705683
363.02862548828125,372.646890359858,337.4121725841665,349.930413256209,69006835,13.098212232072228,9.809942019807982,326.3577619280134,363.8341929117839,6.684710358428397
349.2536926269531,366.2668875607764,345.0970730153142,363.46358390408443,55810736,-14.209891277131305,-3.7944481217701664,331.21866280691967,359.168451944987,6.690577637738778
320.78564453125,334.6572005724685,317.06400322749704,329.6305643310259,50118175,-8.84491979977588,-8.151108691672615,333.0000697544643,353.2750559488932,6.799487988095508
324.7489929199219,326.73063139908487,312.2790724410158,315.1307273257446,49115085,9.618265594177274,1.2355130150737637,332.0679408482143,347.71999206542966,6.814300171794141
341.1821594238281,342.9704542062669,326.73060177601144,328.9055835925677,45953398,12.276575831260402,5.060267117736195,335.1474347795759,342.8367563883464,6.907765821266898
323.6856384277344,331.8055647756887,320.4473262145399,326.6339353605966,38513206,-2.948296932862206,-5.128205128205132,336.18314034598217,337.9551310221354,6.933612523213437
